object_id,color_1,closest_1,color_2,closest_2,color_3,closest_3,color_4,closest_4,color_5,closest_5,palette,url
18649985,#50262b,#2f4f4f,#7c3023,#8b4513,#87685a,#696969,#a28872,#808080,#b15652,#cd5c5c,css3,http://images.collection.cooperhewitt.org/16350_1a7cb19d12012769_z.jpg
18649989,#b82a21,#b22222,#c59e5b,#bdb76b,#fdd780,#f0e68c,#a17e49,#cd853f,#7c1206,#800000,css3,http://images.collection.cooperhewitt.org/16351_53713c66f08aab74_z.jpg
18798273,#a6d1e5,#add8e6,#14326c,#191970,#010c41,#191970,#bcbc9d,#d2b48c,#d9f5f4,#e0ffff,css3,http://images.collection.cooperhewitt.org/16381_d4e73a6dc072ce82_z.jpg
18798275,#e4c6a8,#f5deb3,#d4a79f,#d2b48c,#8b7c73,#808080,#a99983,#bc8f8f,#6f6158,#696969,css3,http://images.collection.cooperhewitt.org/16382_69038f706cf66e3f_z.jpg
18649981,#6c160d,#800000,#f7b74c,#f4a460,#a3401c,#a0522d,#c87c48,#cd853f,#fef99a,#f0e68c,css3,http://images.collection.cooperhewitt.org/16383_d1535077624fb56b_z.jpg
18501583,#857d6d,#808080,#a99f8a,#bc8f8f,#7a7349,#696969,#7d5345,#a0522d,#a0828e,#bc8f8f,css3,http://images.collection.cooperhewitt.org/16384_11b1d5cb605cbcc4_z.jpg
18798269,#9c6745,#a0522d,#ba8969,#bc8f8f,#9b6d68,#808080,#663d29,#8b4513,#edb58f,#deb887,css3,http://images.collection.cooperhewitt.org/16385_994c3e92fc53e749_z.jpg
18649977,#beaa89,#d2b48c,#324b6c,#2f4f4f,#9b795b,#808080,#5e4931,#556b2f,#fcf9cc,#fffacd,css3,http://images.collection.cooperhewitt.org/16387_f0571a6b25d497cf_z.jpg
18798271,#ac9e67,#bdb76b,#918e79,#808080,#8c7a35,#6b8e23,#d8c89b,#d2b48c,#b3c1ae,#c0c0c0,css3,http://images.collection.cooperhewitt.org/16389_c684a2efd5269439_z.jpg
18649983,#554951,#2f4f4f,#927b67,#808080,#5b452f,#556b2f,#d1b29a,#d2b48c,#7a5e51,#696969,css3,http://images.collection.cooperhewitt.org/16412_f4ffa0c17625de94_z.jpg
18649987,#ac946d,#bc8f8f,#6d6457,#696969,#55443a,#556b2f,#8c7f7a,#808080,#8d7653,#696969,css3,http://images.collection.cooperhewitt.org/16413_cd68267abca92b79_z.jpg
