person_id,person_name,id,name,count_objects
18049013,Herman Miller Furniture Company,35236675,For,2
18049013,Herman Miller Furniture Company,35236759,Mount Maker,1
18049013,Herman Miller Furniture Company,35236667,Client,1
18049013,Herman Miller Furniture Company,35236659,Distributor,1
18049019,Gebr. Rasch GmbH & Co.,35236657,Manufacturer,33
18049021,,35236655,Designer,109
18049029,Paul Dean,35236655,Designer,1
18049031,Paul Dillon,35236655,Designer,1
18049033,Greg Dunlap,35236655,Designer,1
18049035,Chris Eselgroth,35236655,Designer,2
18049037,Maura Dillon,35236655,Designer,1
18049043,WMF Aktiengesellschaft,35236657,Manufacturer,4
18049047,Aaron Bohrad,35236655,Designer,1
18049049,Haussmann,35236671,Producer,1
18049049,Haussmann,35236657,Manufacturer,1
18049051,Lecier Freres,35236685,Maker,1
18049051,Lecier Freres,35236657,Manufacturer,1
18049053,Saunier,35236685,Maker,1
18049053,Saunier,35236671,Producer,1
18049055,Meillier et Cie,35236671,Producer,1
18049057,MF et Cie,35236671,Producer,1
18049061,Thomas Clarkson & Co.,35236671,Producer,1
18049065,Petitpierre Freres,35236671,Producer,2
18049065,Petitpierre Freres,35236681,Company,1
18049065,Petitpierre Freres,35236657,Manufacturer,1
18049067,American Print Works,35236657,Manufacturer,13
18049067,American Print Works,35236671,Producer,1
18049081,Drenttel Doyle Partners,35236655,Designer,5
18049081,Drenttel Doyle Partners,35236703,Office of,1
18049081,Drenttel Doyle Partners,35236685,Maker,1
18049101,Irwin Glass,35236565,Artist,1
18049105,Ruudt Peters,35236655,Designer,1
18049109,Michael Becker,35236655,Designer,1
18049115,Studio X,35236655,Designer,3
18049117,Stephen Peart,35236655,Designer,3
18049121,Rolodex,35236657,Manufacturer,6
18049125,Else Dorr,35236655,Designer,1
18049127,Carstens-Uffrecht,35236657,Manufacturer,21
18049129,Elsterwerda,35236657,Manufacturer,16
18049131,Erwin Spuler,35236655,Designer,1
18049133,Schramberg,35236657,Manufacturer,64
18049133,Schramberg,35236685,Maker,16
18049135,Wachtersbach,35236657,Manufacturer,28
18049135,Wachtersbach,35236685,Maker,1
18049137,,35236657,Manufacturer,7
18049139,Goebel,35236657,Manufacturer,10
18049141,Edwin Werner & Co,35236657,Manufacturer,1
18049143,C.A. Lehman & Sohn,35236657,Manufacturer,1
18049145,Theodor Paetsch,35236657,Manufacturer,6
18049145,Theodor Paetsch,35236655,Designer,1
18049147,International Business Machines Corp. (IBM),35236671,Producer,1
18049147,International Business Machines Corp. (IBM),35236657,Manufacturer,1
18049147,International Business Machines Corp. (IBM),35236655,Designer,1
18049149,"Apple Computer, Inc.",35236657,Manufacturer,15
18049149,"Apple Computer, Inc.",35236797,Firm,6
18049155,Abraham Bosse,35236655,Designer,1
18049157,John Nels Hatleberg,35236655,Designer,1
18049165,Telekom,35236657,Manufacturer,2
18049167,Saunders Machine & Tool Corp.,35236657,Manufacturer,1
18049175,,35236657,Manufacturer,1
18049179,Daum,35236657,Manufacturer,2
18049179,Daum,35236675,For,1
18049191,Van Cleef and Arpels,35236659,Distributor,2
18049193,D. Gumbiner,35236659,Distributor,1
18049195,C. V. Gibert,35236657,Manufacturer,39
18049197,F. Nicoud,35236655,Designer,26
18049197,F. Nicoud,35236749,Retailer,1
18049199,Merry-Joseph Blondel,35236733,Co-Designer,1
18049203,,35236655,Designer,10
18049219,Jean Adrien Mercier,35236655,Designer,1
18049223,Michael Bierut,35236655,Designer,3
18049223,Michael Bierut,35236799,Design Director,1
18049225,Willi Kunz,35236655,Designer,4
18049227,Keith Brown,35236655,Designer,1
18049229,Steve Farrar,35236655,Designer,4
18049231,Jager Di Paola Kemp,35236655,Designer,4
18049233,David Covell,35236655,Designer,5
18049241,DuBois Pere et Freres,35236685,Maker,1
18049317,J.H. Thorp Co.,35236657,Manufacturer,2
18049319,Art Smith,35236565,Artist,2
18049321,Sarah Cooper Hewitt,35236657,Manufacturer,1
18049327,Charles-Antoine Coypel,35236565,Artist,1
18049337,Glen Boyle,35236669,Draftsman,1
18049339,"Dorothy Draper & Co., Inc.",35236657,Manufacturer,1
18049339,"Dorothy Draper & Co., Inc.",35236655,Designer,1
18049341,The Curwen Press,35236671,Producer,9
18049341,The Curwen Press,35236657,Manufacturer,4
18049343,Louis Lafitte,35236655,Designer,8
18049343,Louis Lafitte,35236733,Co-Designer,1
18049349,"Charles X, King of France",35236753,Patron,1
18049351,Pierre Huard,35236761,Painter,1
18049351,Pierre Huard,35236757,Executor,1
18049353,Alexandre Evariste Fragonard,35236655,Designer,1
18049355,"Boullemier, Sr. and Jr.",35236759,Mount Maker,1
18049357,Boquet,35236759,Mount Maker,1
18049359,Riton,35236761,Painter,1
18049361,Vicomte de la Rochefoucauld,35236751,Director of Production,1
18049397,HGH Design Group,35236657,Manufacturer,1
