id,ldm:id,ldm:status,ldm:name,ldm:lastmod,freebase:id,freebase:status,freebase:name,freebase:lastmod,ulan:id,ulan:status,ulan:name,ulan:lastmod,ima:id,ima:status,ima:name,ima:lastmod,lcnaf:id,lcnaf:status,lcnaf:name,lcnaf:lastmod,moma:id,moma:status,moma:name,moma:lastmod,phm:id,phm:status,phm:name,phm:lastmod,tms:id,tms:status,tms:name,tms:lastmod,vanda:id,vanda:status,vanda:name,vanda:lastmod,viaf:id,viaf:status,viaf:name,viaf:lastmod,wikipedia:id,wikipedia:status,wikipedia:name,wikipedia:lastmod,ideo:id,ideo:status,ideo:name,ideo:lastmod
18055329,,3,,2013-02-12T17:57:15Z,/m/047dl7f,1,,2012-12-28T20:59:22Z,,,,,,,,,,,,,2949,1,"Finn Juhl",2012-12-28T23:18:10Z,,,,,10219,4,"Finn Juhl",,31321,1,"Juhl, Finn",2012-12-28T23:18:10Z,8252345,1,,2012-12-28T20:59:22Z,17868384,1,"Finn Juhl",2012-12-28T20:59:22Z,,,,
18055331,,0,,2013-02-12T17:57:07Z,,,,,,,,,,,,,,,,,,,,,,,,,10220,4,"Baker Furniture Incorporated",,,,,,,,,,,2,,2012-12-28T20:59:22Z,,,,
18042781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,4,PAK,,,,,,,,,,2724654,1,PaK,2012-12-28T20:44:22Z,,,,
18055347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10230,4,"Anthony Slater Ralph",,,,,,,,,,,2,,2012-12-28T20:59:23Z,,,,
18055349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10231,4,"Post Road Gallery",,,,,,,,,,,2,,2012-12-28T20:59:24Z,,,,
18055351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10232,4,"Williamsburg Historical Society",,,,,,,,,,,2,,2012-12-28T20:59:24Z,,,,
18055353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10233,4,"Robert Mertz",,,,,,,,,,,2,,2012-12-28T20:59:24Z,,,,
18055355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10234,4,"Mrs.  Mertz",,,,,,,,,,,2,,2012-12-28T20:59:24Z,,,,
18055357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10235,4,"Dr. Dorothy Lieberman",,,,,,,,,,,2,,2012-12-28T20:59:24Z,,,,
18055359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10236,4,"Everett Turk",,,,,,,,,,,2,,2012-12-28T20:59:24Z,,,,
