"Saks Fifth Avenue, New York, NY",18043539,0,0
Marcel Mouton,18043541,0,0
Mrs. Smith,18043545,95727392,0
Philip Johnson,18043547,108419418,53421
Procter & Gamble,18043549,0,0
Dorothy Draper,18043555,27869302,3149488
William Longhauser,18043561,0,0
Jean Audran,18043563,49258269,27668827
George Sadek,18043565,0,0
Tom Kluepfel,18043589,0,0
New York Department of Health,18043595,0,0
Doug Minkler,18043597,0,0
Herbert Hoover,18043603,0,0
Simon Johnston,18043609,0,0
Gene Greif,18043621,0,0
Bruce Licher,18043623,0,0
Mike Mills,18043625,0,0
Beth Baptiste,18043639,0,0
Stephen Doyle,18043651,0,0
Carin Goldberg,18043661,0,0
Paula Scher,18043689,39651880,0
Henry Hitchings,18043709,0,0
American Encaustic Tiling Company,18043717,0,0
Arthur & Robert,18043721,0,0
Barovier & Toso,18043723,154683975,0
William Arthur Smith Benson,18043725,935645,0
Matthew Boulton and Company,18043727,0,0
Thomas Bradbury and Son,18043729,0,0
Brouwer Pottery,18043731,0,0
Nicholas Bulidon,18043733,0,0
Campbell & Co.,18043735,0,0
Achille Castiglioni,18043737,109927956,5890367
Michel-Barnabé Chauveaux,18043741,95866787,0
Henry Chawner,18043743,66739395,0
Dedham Pottery,18043745,0,0
Lambertus Cleffius,18043747,0,0
Andries Dirk Copier,18043749,118548463,0
Cork Glass Company,18043751,0,0
"Cube Teapots, Ltd.",18043753,0,0
"Dansk International Designs, Ltd.",18043757,0,0
Doulton Pottery and Porcelain Company,18043761,0,0
Christopher Dresser,18043763,49322359,2271988
Lambertus Van Eenhoorn,18043767,0,0
Samuel Van Eenhoorn,18043769,96370353,0
Jan Eisenloeffel,18043771,30346826,0
Entertainment Systems Of America,18043775,0,0
F B,18043779,27219666,3612977
Foscarini Murano,18043781,0,0
